"driverid","raceid","stintnumber","numberoflaps","startlap","tire"
"848","1011","1","9","1","C3"
"840","1011","1","1","1","C3"
"840","1012","1","20","1","C3"
"840","1013","1","10","1","C4"
"840","1014","1","22","1","C2"
"841","1012","1","7","1","C4"
"841","1013","1","7","1","C4"
"841","1014","1","6","1","C3"
"8","1012","1","25","1","C3"
"8","1013","1","6","1","C4"
"8","1014","1","28","1","C2"
"9","1011","1","11","1","C2"
"9","1012","1","26","1","C3"
"9","1013","1","23","1","C3"
"20","1012","1","18","1","C3"
"20","1013","1","11","1","C4"
"20","1014","1","19","1","C3"
"20","1015","1","11","1","C5"
"154","1011","1","1","1","C3"
"154","1012","1","8","1","C4"
"154","1013","1","34","1","C3"
"154","1014","1","26","1","C3"
"807","1011","1","12","1","C3"
"807","1012","1","11","1","C4"
"807","1013","1","8","1","C4"
"807","1014","1","35","1","C2"
"815","1012","1","20","1","C3"
"815","1013","1","10","1","C4"
"815","1014","1","24","1","C3"
"817","1011","1","24","1","C3"
"817","1012","1","18","1","C4"
"817","1013","1","10","1","C4"
"817","1014","1","24","1","C3"
"822","1012","1","21","1","C3"
"822","1013","1","12","1","C4"
"822","1014","1","26","1","C3"
"822","1015","1","11","1","C5"
"825","1012","1","9","1","C4"
"825","1013","1","7","1","C4"
"825","1014","1","23","1","C3"
"826","1012","1","7","1","C3"
"826","1013","1","5","1","C4"
"826","1014","1","21","1","C3"
"826","1015","1","32","1","C5"
"830","1012","1","17","1","C3"
"830","1013","1","14","1","C4"
"830","1014","1","20","1","C3"
"830","1015","1","11","1","C5"
"832","1011","1","4","1","C3"
"832","1012","1","1","1","C3"
"832","1013","1","12","1","C4"
"832","1014","1","24","1","C3"
"842","1012","1","19","1","C4"
"842","1013","1","38","1","C3"
"842","1014","1","22","1","C3"
"842","1015","1","27","1","C5"
"844","1012","1","22","1","C3"
"844","1013","1","34","1","C3"
"844","1014","1","25","1","C3"
"846","1012","1","1","1","C3"
"846","1013","1","9","1","C4"
"846","1014","1","26","1","C3"
"847","1011","1","12","1","C3"
"847","1012","1","22","1","C3"
"847","1013","1","25","1","C3"
"847","1014","1","32","1","C2"
"848","1012","1","19","1","C4"
"848","1013","1","12","1","C4"
"848","1014","1","25","1","C3"
"848","1015","1","40","1","C5"
"840","1015","1","39","1","C4"
"840","1016","1","45","1","C3"
"840","1017","1","39","1","C2"
"840","1019","1","13","1","C2"
"841","1015","1","44","1","C5"
"841","1016","1","33","1","C3"
"841","1017","1","7","1","C4"
"8","1015","1","46","1","C5"
"8","1016","1","6","1","C4"
"8","1017","1","31","1","C2"
"8","1019","1","17","1","C2"
"9","1015","1","21","1","C4"
"9","1016","1","8","1","C4"
"9","1017","1","24","1","C3"
"9","1018","1","19","1","C3"
"20","1016","1","26","1","C4"
"20","1017","1","25","1","C3"
"20","1018","1","21","1","C4"
"20","1019","1","20","1","C3"
"154","1015","1","50","1","C5"
"154","1016","1","34","1","C4"
"154","1017","1","31","1","C2"
"154","1019","1","1","1","C3"
"807","1015","1","9","1","C4"
"807","1016","1","16","1","C5"
"807","1017","1","34","1","C2"
"807","1019","1","13","1","C3"
"815","1015","1","11","1","C4"
"815","1016","1","11","1","C4"
"815","1017","1","18","1","C3"
"815","1019","1","18","1","C2"
"817","1016","1","8","1","C5"
"817","1017","1","16","1","C3"
"817","1019","1","12","1","C3"
"822","1016","1","30","1","C4"
"822","1017","1","23","1","C3"
"822","1018","1","21","1","C3"
"822","1019","1","16","1","C2"
"825","1015","1","11","1","C5"
"825","1016","1","39","1","C3"
"825","1017","1","16","1","C3"
"825","1019","1","1","1","C3"
"826","1016","1","12","1","C4"
"826","1017","1","32","1","C2"
"826","1019","1","12","1","C3"
"830","1016","1","48","1","C3"
"830","1017","1","20","1","C3"
"830","1018","1","31","1","C3"
"832","1016","1","3","1","C5"
"832","1017","1","19","1","C3"
"832","1018","1","41","1","C3"
"832","1019","1","20","1","C2"
"841","1019","1","18","1","C2"
"842","1016","1","7","1","C5"
"842","1017","1","17","1","C4"
"842","1018","1","25","1","C4"
"842","1019","1","12","1","C2"
"844","1015","1","9","1","C4"
"844","1016","1","33","1","C4"
"844","1017","1","21","1","C3"
"844","1018","1","22","1","C4"
"844","1019","1","13","1","C3"
"846","1015","1","47","1","C4"
"846","1017","1","18","1","C3"
"846","1018","1","25","1","C4"
"846","1019","1","13","1","C3"
"847","1015","1","10","1","C4"
"847","1016","1","9","1","C4"
"847","1017","1","25","1","C3"
"847","1019","1","21","1","C2"
"848","1016","1","1","1","C4"
"848","1017","1","25","1","C3"
"848","1019","1","13","1","C3"
"840","1020","1","7","1","Wet"
"840","1027","1","37","1","C3"
"840","1021","1","16","1","C3"
"841","1027","1","21","1","C3"
"841","1021","1","15","1","C3"
"8","1020","1","3","1","Wet"
"8","1027","1","15","1","C3"
"8","1021","1","29","1","C4"
"9","1020","1","7","1","Wet"
"9","1027","1","21","1","C3"
"9","1021","1","18","1","C3"
"9","1022","1","31","1","C2"
"20","1020","1","2","1","Wet"
"20","1027","1","37","1","C3"
"20","1022","1","15","1","C3"
"154","1020","1","3","1","Wet"
"154","1027","1","37","1","C3"
"154","1021","1","19","1","C4"
"154","1022","1","16","1","C3"
"807","1027","1","18","1","C3"
"807","1021","1","36","1","C3"
"807","1022","1","11","1","C3"
"807","1023","1","29","1","C4"
"815","1021","1","18","1","C3"
"815","1022","1","15","1","C3"
"815","1023","1","28","1","C3"
"817","1020","1","3","1","Wet"
"817","1027","1","50","1","C2"
"817","1021","1","46","1","C2"
"817","1022","1","1","1","C3"
"822","1027","1","36","1","C3"
"822","1021","1","5","1","C3"
"822","1022","1","23","1","C3"
"822","1023","1","27","1","C4"
"825","1020","1","8","1","Wet"
"825","1027","1","28","1","C3"
"825","1021","1","38","1","C3"
"825","1022","1","25","1","C3"
"826","1020","1","3","1","Wet"
"826","1027","1","10","1","C4"
"826","1021","1","21","1","C3"
"826","1022","1","24","1","C2"
"830","1020","1","3","1","Wet"
"830","1027","1","5","1","C3"
"832","1020","1","3","1","Wet"
"832","1027","1","15","1","C4"
"841","1022","1","29","1","C2"
"842","1027","1","9","1","C4"
"842","1022","1","13","1","C3"
"844","1027","1","15","1","C3"
"844","1022","1","21","1","C3"
"844","1023","1","20","1","C4"
"846","1027","1","12","1","C4"
"846","1021","1","28","1","C4"
"846","1022","1","19","1","C3"
"847","1020","1","7","1","Wet"
"847","1027","1","22","1","C3"
"847","1021","1","16","1","C3"
"847","1022","1","30","1","C2"
"848","1020","1","2","1","Wet"
"848","1027","1","14","1","C3"
"848","1021","1","28","1","C3"
"848","1022","1","23","1","C2"
"840","1023","1","15","1","C4"
"840","1025","1","27","1","C3"
"840","1026","1","18","1","C3"
"840","1031","1","20","1","C4"
"841","1023","1","21","1","C4"
"841","1025","1","2","1","C4"
"841","1026","1","18","1","C2"
"8","1023","1","19","1","C3"
"8","1024","1","15","1","C4"
"8","1025","1","27","1","C3"
"8","1026","1","15","1","C2"
"9","1023","1","29","1","C3"
"9","1024","1","21","1","C4"
"9","1025","1","1","1","C3"
"9","1026","1","22","1","C2"
"20","1023","1","6","1","C4"
"20","1025","1","26","1","C4"
"20","1026","1","16","1","C3"
"20","1030","1","12","1","C5"
"154","1023","1","7","1","C4"
"154","1026","1","16","1","C3"
"154","1031","1","20","1","C3"
"807","1025","1","16","1","C4"
"807","1026","1","19","1","C3"
"815","1024","1","13","1","C4"
"815","1025","1","23","1","C4"
"815","1026","1","19","1","C3"
"815","1027","1","20","1","C3"
"815","1030","1","37","1","C4"
"817","1024","1","34","1","C4"
"817","1025","1","1","1","C4"
"817","1026","1","29","1","C2"
"817","1031","1","17","1","C4"
"822","1025","1","28","1","C3"
"822","1026","1","17","1","C3"
"822","1030","1","29","1","C4"
"822","1032","1","34","1","C4"
"825","1024","1","18","1","C4"
