"firstname","lastname","stint1tire","stint1lap","stint2tire","stint2lap","stint3tire","stint3lap","stint4tire","stint4lap","stint5tire","stint5lap","stint6tire","stint6lap","stint7tire","stint7lap","stint8tire","stint8lap","stint9tire","stint9lap","stint10tire","stint10lap","raceid","driverid"
"Antonio","Giovinazzi","Wet","3","Intermediate","23","C3","2","Intermediate","19","C4","17",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1020","841"
"Pierre","Gasly","Wet","3","Intermediate","23","C4","2","Intermediate","18","C4","15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1020","842"
"Pierre","Gasly","C3","28","C2","41",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1021","842"
"Charles","Leclerc","Wet","3","Intermediate","12","Intermediate","12","C4","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1020","844"
"Charles","Leclerc","C3","27","C2","43",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1021","844"
"Lando","Norris","Wet","6","Intermediate","19","C4","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1020","846"
"Lewis","Hamilton","C5","26","C3","35",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1024","1"
"Sebastian","Vettel","C5","19","C3","42",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1024","20"
"Romain","Grosjean","C4","23","C3","12","C5","26",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1024","154"
"Nico","Hulkenberg","C5","1","C3","35","C4","25",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1024","807"
"Valtteri","Bottas","C5","22","C3","39",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1024","822"
"Kevin","Magnussen","C4","20","C3","14","C4","9",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1023","825"
"Daniil","Kvyat","C3","28","C4","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1023","826"
"Max","Verstappen","C5","19","C3","42",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1024","830"
"Carlos","Sainz","C4","27","C3","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1023","832"
"Carlos","Sainz","C5","1","C3","34","C4","26",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1024","832"
"Lance","Stroll","C4","31","C3","10","C5","3","C5","17",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1024","840"
"Antonio","Giovinazzi","C4","34","C3","2","C5","25",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1024","841"
"Pierre","Gasly","C3","32","C4","29",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1024","842"
"Charles","Leclerc","C5","20","C3","41",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1024","844"
"Lando","Norris","C5","20","C3","41",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1024","846"
"Alexander","Albon","C5","20","C3","41",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1024","848"
"Robert","Kubica","C3","11","C2","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1028","9"
"Sebastian","Vettel","C3","7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1028","20"
"Romain","Grosjean","C3","24","C2","31",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1028","154"
"Kevin","Magnussen","C3","18","C2","22","C4","12",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1028","825"
"Lance","Stroll","C3","9","C2","20","C4","26",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1028","840"
"Antonio","Giovinazzi","C3","17","C2","22","C4","16",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1028","841"
"Pierre","Gasly","C4","19","C2","34","C4","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1028","842"
"George","Russell","C3","23","C2","23","C4","8",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1028","847"
"Lewis","Hamilton","C3","24","C2","32",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1028","1"
"Lewis","Hamilton","C3","20","C3","23","C2","23","C3","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1029","1"
"Kimi","Raikkonen","C4","18","C2","22","C4","15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1028","8"
"Kimi","Raikkonen","C3","21","C2","26","C3","24",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1029","8"
